time,value
2019/06/28 06:00:00,0.4541321
2019/06/28 06:00:01,0.4554283
2019/06/28 06:00:02,0.4564449
2019/06/28 06:00:03,0.4572834
2019/06/28 06:00:04,0.458122
2019/06/28 06:00:05,0.4589605
2019/06/28 06:00:06,0.4597991
2019/06/28 06:00:07,0.4594322
2019/06/28 06:00:08,0.4582849
2019/06/28 06:00:09,0.4571375
2019/06/28 06:00:10,0.4559901
2019/06/28 06:00:11,0.4548427
2019/06/28 06:00:12,0.4546431
2019/06/28 06:00:13,0.4550242
2019/06/28 06:00:14,0.4554054
2019/06/28 06:00:15,0.4557866
2019/06/28 06:00:16,0.4561677
2019/06/28 06:00:17,0.4557035
2019/06/28 06:00:18,0.4547123
2019/06/28 06:00:19,0.453721
2019/06/28 06:00:20,0.4527298
2019/06/28 06:00:21,0.4517386
2019/06/28 06:00:22,0.4515425
2019/06/28 06:00:23,0.4518484
2019/06/28 06:00:24,0.4521543
2019/06/28 06:00:25,0.4524602
2019/06/28 06:00:26,0.4527662
2019/06/28 06:00:27,0.4524043
2019/06/28 06:00:28,0.4516418
2019/06/28 06:00:29,0.4508793
2019/06/28 06:00:30,0.4501168
2019/06/28 06:00:31,0.4493543
2019/06/28 06:00:32,0.4499196
2019/06/28 06:00:33,0.4512917
2019/06/28 06:00:34,0.4526639
2019/06/28 06:00:35,0.4540361
2019/06/28 06:00:36,0.4554083
2019/06/28 06:00:37,0.4570634
2019/06/28 06:00:38,0.4588934
2019/06/28 06:00:39,0.4607234
2019/06/28 06:00:40,0.4625534
2019/06/28 06:00:41,0.4643833
2019/06/28 06:00:42,0.4644294
2019/06/28 06:00:43,0.4633587
2019/06/28 06:00:44,0.4622881
2019/06/28 06:00:45,0.4612174
2019/06/28 06:00:46,0.4601467
2019/06/28 06:00:47,0.4607035
2019/06/28 06:00:48,0.4622284
2019/06/28 06:00:49,0.4637534
2019/06/28 06:00:50,0.4652784
2019/06/28 06:00:51,0.4668033
2019/06/28 06:00:52,0.4663777
2019/06/28 06:00:53,0.4647768
2019/06/28 06:00:54,0.4631759
2019/06/28 06:00:55,0.461575
2019/06/28 06:00:56,0.4599741
2019/06/28 06:00:57,0.4608359
2019/06/28 06:00:58,0.4632072
2019/06/28 06:00:59,0.4655785
2019/06/28 06:01:00,0.4679498
2019/06/28 06:01:01,0.4703211
2019/06/28 06:01:02,0.470178
2019/06/28 06:01:03,0.4685771
2019/06/28 06:01:04,0.4669763
2019/06/28 06:01:05,0.4653754
2019/06/28 06:01:06,0.4637745
2019/06/28 06:01:07,0.4610223
2019/06/28 06:01:08,0.4575912
2019/06/28 06:01:09,0.45416
2019/06/28 06:01:10,0.4507289
2019/06/28 06:01:11,0.4472977
2019/06/28 06:01:12,0.4489731
2019/06/28 06:01:13,0.4536995
2019/06/28 06:01:14,0.4584259
2019/06/28 06:01:15,0.4631524
2019/06/28 06:01:16,0.4678788
2019/06/28 06:01:17,0.468809
2019/06/28 06:01:18,0.4674321
2019/06/28 06:01:19,0.4660553
2019/06/28 06:01:20,0.4646784
2019/06/28 06:01:21,0.4633015
2019/06/28 06:01:22,0.4622181
2019/06/28 06:01:23,0.4613033
2019/06/28 06:01:24,0.4603885
2019/06/28 06:01:25,0.4594738
2019/06/28 06:01:26,0.458559
2019/06/28 06:01:27,0.4561526
2019/06/28 06:01:28,0.4528739
2019/06/28 06:01:29,0.4495953
2019/06/28 06:01:30,0.4463166
2019/06/28 06:01:31,0.4430379
2019/06/28 06:01:32,0.4442196
2019/06/28 06:01:33,0.4480435
2019/06/28 06:01:34,0.4518674
2019/06/28 06:01:35,0.4556912
2019/06/28 06:01:36,0.4595151
2019/06/28 06:01:37,0.4617213
2019/06/28 06:01:38,0.4630175
